"Address","Occurrences","H1-1","H1-1 Length","H1-2","H1-2 Length","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/gallery/","1","Gallery","7","","0","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","1","Volunteer","9","","0","Indexable",""
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","1","5 Day Lean Six Sigma Green Belt (LSSGB)","39","","0","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","0","","0","","0","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","0","","0","","0","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","0","","0","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","2","Archives Events","15","Events for May 8, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","2","Archives Events","15","Events for May 28, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","2","Archives Events","15","Events for May 16, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-04/","2","Archives Events","15","Events for May 4, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","1","Veteran Career Transition Brief Insider Tips Jobs Resources May 4 5-7pm","71","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","2","Archives Events","15","Events for May 24, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","2","Archives Events","15","Events for May 12, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","1","$250 OSHA 30 Hr Construction Safety | In Person ONLY May 2-3 & 9-10 2026","72","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","2","Archives Events","15","Events for May 31, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","1","May 4: Veteran Career Transition Brief – Jobs & Resources on Zoom","65","","0","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","1","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 30 2026","72","","0","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","1","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 4-8 8-5pm PST","66","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","2","Archives Events","15","Events for May 9, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","2","Archives Events","15","Events for May 29, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-05/","2","Archives Events","15","Events for May 5, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-17/","2","Archives Events","15","Events for May 17, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-25/","2","Archives Events","15","Events for May 25, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-13/","2","Archives Events","15","Events for May 13, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-01/","2","Archives Events","15","Events for May 1, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","1","FREE OSHA 10-Hour Safety Training |May 02-03 | San Marcos CA","60","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-21/","2","Archives Events","15","Events for May 21, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","1","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt 05/30-31, 06/6-7 8-5pm PST","75","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-20/","2","Archives Events","15","Events for May 20, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","1","FREE OSHA Accident Investigation & Recordkeeping Course Live Zoom | May 1","73","","0","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","1","$250 OSHA 30 Hr. General Safety Live Instruction 04/11-12 & 18-19 2026","70","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-06/","2","Archives Events","15","Events for May 6, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-18/","2","Archives Events","15","Events for May 18, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/today/","2","Archives Events","15","Events for May 14, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-26/","2","Archives Events","15","Events for May 26, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-10/","2","Archives Events","15","Events for May 10, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-14/","2","Archives Events","15","Events for May 14, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-06/","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-02/","2","Archives Events","15","Events for May 2, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-22/","2","Archives Events","15","Events for May 22, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","1","$250 ZOOM ONLINE 5 Day LEAN Six Sigma Green Belt MAY 30-31-JUN 6-7 8-5pmPST","75","","0","Indexable",""
"https://veteranstransitionsupport.org/events/2026-04-30/","2","Archives Events","15","Events for April 30, 2026","25","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-19/","2","Archives Events","15","Events for May 19, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-27/","2","Archives Events","15","Events for May 27, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-07/","2","Archives Events","15","Events for May 7, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-15/","2","Archives Events","15","Events for May 15, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","1","FREE Lean Six Sigma Yellow Belt | Live Instructor-Led Zoom | May 4 2026","71","","0","Indexable",""
"https://veteranstransitionsupport.org/events/month/","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-03/","2","Archives Events","15","Events for May 3, 2026","22","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-23/","2","Archives Events","15","Events for May 23, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-11/","2","Archives Events","15","Events for May 11, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-30/","2","Archives Events","15","Events for May 30, 2026","23","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","1","May 30: Veteran Career Transition Brief – Jobs & Resources","58","","0","Indexable",""
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","1","Veterans Transition Support","27","","0","Indexable",""
"https://veteranstransitionsupport.org/venue/vts/","1","Veterans Transition Support","27","","0","Indexable",""
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-12","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-24","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-04","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-16","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-28","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-08","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-05/","2","Archives Events","15","Events","6","Non-Indexable","Canonicalised"
