"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://veteranstransitionsupport.org/va-work-study-program-2/","1","Learn about the VA Work Study Program for veterans. Get paid tax-free while gaining experience and using your education benefits.","129","810","Indexable",""
"https://veteranstransitionsupport.org/va-disability-filing/","1","Get help with VA disability filing. Learn about claims, benefits, and available veteran support.","96","569","Indexable",""
"https://veteranstransitionsupport.org/event/pre-discharge-va-disability-claim-prep-active-duty-zoom-may-19/","1","Transitioning out soon? Don’t leave VA benefits on the table — understand the BDD process before you file.","106","656","Indexable",""
"https://veteranstransitionsupport.org/volunteer-team/","1","Meet our volunteer team dedicated to supporting veterans and military families.","79","490","Indexable",""
"https://veteranstransitionsupport.org/event/zoom-osha-30-hour-construction-safety-course-may-18-21-2026-250/","1","OSHA 30-Hour Construction Industry Safety Course Live on Zoom","61","406","Indexable",""
"https://veteranstransitionsupport.org/va-home-loans/","1","Learn about VA home loans and housing assistance available to veterans and their families.","90","566","Indexable",""
"https://veteranstransitionsupport.org/testimonies/","1","Read veteran testimonials and success stories showcasing real impact from Veterans Transition Support programs.","111","715","Indexable",""
"https://veteranstransitionsupport.org/vts-programs/","1","Explore VTS programs designed to support veterans with education, training, and career transition services.","107","663","Indexable",""
"https://veteranstransitionsupport.org/no-cost-osha-10-safety-training/","1","No-cost OSHA 10 safety training for veterans. Earn your certification through approved safety courses.","102","636","Indexable",""
"https://veteranstransitionsupport.org/our-instructors/","1","Meet our instructors and learn from experienced professionals supporting veteran education and training.","104","652","Indexable",""
"https://veteranstransitionsupport.org/contact-us/","1","Explore vital support for veterans transitioning to civilian careers. Contact us for guidance and resources tailored for your success.","134","803","Indexable",""
"https://veteranstransitionsupport.org/event/free-on-line-coursera-certification-courses-for-military-and-spouse/","1","This link is the directions/ steps to getting access:","53","305","Indexable",""
"https://veteranstransitionsupport.org/gallery/","1","Browse our gallery showcasing veteran events, training programs, and community impact.","86","558","Indexable",""
"https://veteranstransitionsupport.org/volunteer/","1","Discover volunteer opportunities and help support veterans through community involvement.","89","573","Indexable",""
"https://veteranstransitionsupport.org/leansixsigmagreenbelt-for-veterans/","1","Lean Six Sigma Green Belt for veterans, is a 5day course made to give you hands on experience with tools used in process improvement.","133","835","Indexable",""
"https://veteranstransitionsupport.org/privacy-policy/","1","Review the Veterans Transition Support privacy policy and how your information is protected.","92","576","Indexable",""
"https://veteranstransitionsupport.org/events-calendar/","1","View the events calendar for upcoming veteran training, workshops, and support sessions.","88","559","Indexable",""
"https://veteranstransitionsupport.org/osha-30-safety-training/","1","Veterans Transition Support offers military transition programs, free OSHA training, and job support to help veterans succeed in civilian life.","143","856","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-08/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-28/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-16/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-04/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources/","1","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-24/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-12/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-osha-30-hr-construction-safety-in-person-only-may-2-3-9-10-2026/","1","THIS IS A FOUR DAY CLASS May 2-3 and 9-10 2026.","47","320","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-31/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-4-veteran-career-transition-brief-jobs-resources-on-zoom/","1","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952","Indexable",""
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-30-2026/","1","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","133","823","Indexable",""
"https://veteranstransitionsupport.org/events/month/2026-04/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-4-8-8-5pm-pst/","1","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-09/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-29/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-05/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-17/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-25/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-13/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-01/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-10-hour-safety-training-may-02-03-san-marcos-ca/","1","This OSHA 10 course is conducted IN PERSON ONLY at our San Marcos location. It is not available online in any format.","117","736","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-21/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-05-30-31-06-6-7-8-5pm-pst/","1","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-20/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-osha-accident-investigation-recordkeeping-course-live-zoom-may-1/","1","Presented by Veterans Transition Support | Live Instructor-Led Zoom Training","76","478","Indexable",""
"https://veteranstransitionsupport.org/event/250-osha-30-hr-general-safety-live-instruction-04-11-12-18-19-2026/","1","OSHA 30-Hour General Industry Safety Training","45","294","Indexable",""
"https://veteranstransitionsupport.org/events/2026-05-06/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-18/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/today/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-26/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-10/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-14/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-06/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-02/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-22/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/250-zoom-online-5-day-lean-six-sigma-green-belt-may-30-31-jun-6-7-8-5pmpst/","1","LEAN Six Sigma Green Belt- Cost is $250 ( Link to Pay sent to you)","66","406","Indexable",""
"https://veteranstransitionsupport.org/events/2026-04-30/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-19/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-27/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-07/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-15/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/free-lean-six-sigma-yellow-belt-live-instructor-led-zoom-may-4-2026/","1","LEAN Six Sigma Yellow Belt Certification – Live Online (Zoom)For Military Service Members, Veterans, Reservists, and Military Spouses","133","823","Indexable",""
"https://veteranstransitionsupport.org/events/month/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-03/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-23/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-11/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/2026-05-30/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/event/may-30-veteran-career-transition-brief-jobs-resources/","1","Many veterans leave the military with incredible skills — but without clear information about the programs, certifications, and career opportunities available","158","952","Indexable",""
"https://veteranstransitionsupport.org/organizer/veterans-transition-support-vts/","0","","0","0","Indexable",""
"https://veteranstransitionsupport.org/venue/vts/","0","","0","0","Indexable",""
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-12","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-24","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-04","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-16","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-28","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/list/?tribe-bar-date=2026-05-08","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
"https://veteranstransitionsupport.org/events/month/2026-05/","1","Events Archive - Veterans Transition Support (VTS)","50","314","Non-Indexable","Canonicalised"
